SCAN,ICC,SCALEFACTOR
ses-001_run-1,1353305.1179,1.40585
ses-002_run-1,1346104.511541,1.40329
ses-003_run-1,1348216.564597,1.40263
ses-004_run-1,1380003.623845,1.37975
ses-005_run-1,1377679.118866,1.35371
ses-005_run-2,1357703.719786,1.3818
ses-005_run-3,1378244.767575,1.35549
ses-006_run-1,1363965.222453,1.37445
ses-006_run-2,1364582.968923,1.37208
ses-007_run-1,1377629.166607,1.38542
ses-008_run-1,1364405.923081,1.38509
ses-009_run-1,1364805.864229,1.36966
ses-010_run-1,1364445.027935,1.37106
ses-011_run-1,1369841.235832,1.40019
ses-011_run-2,1371724.370568,1.39332
ses-012_run-1,1369455.771415,1.37332
ses-013_run-1,1361324.413764,1.40515
ses-014_run-1,1375528.209723,1.38392
ses-015_run-1,1370613.216286,1.40342
ses-016_run-1,1375936.958756,1.39147
ses-017_run-1,1364721.265559,1.39954
ses-018_run-1,1370711.736901,1.39841
ses-019_run-1,1364392.065743,1.40303
ses-020_run-1,1367307.04704,1.40073
ses-021_run-1,1363644.974291,1.40418
ses-022_run-1,1367392.746891,1.38644
ses-023_run-1,1377230.951247,1.38618
ses-024_run-1,1395706.580685,1.35533
ses-025_run-1,1378694.671492,1.37881
ses-026_run-1,1365986.429005,1.38236
ses-027_run-1,1373095.611116,1.38509
ses-028_run-1,1379871.254001,1.3748
ses-030_acq-32channel_run-2,1334945.335856,1.38482
ses-030_acq-32channel_run-3,1338836.749904,1.38199
ses-030_run-1,1359410.31727,1.37769
ses-031_run-1,1368393.246731,1.40258
ses-032_acq-08iso_run-2,1386213.645129,1.39493
ses-032_acq-10iso_run-1,1383639.777569,1.3847
ses-033_acq-08iso_run-2,1402104.125144,1.35971
ses-033_acq-10iso_run-1,1407674.712976,1.35093
ses-034_acq-08iso_run-1,1424575.974495,1.34249
ses-035_run-1,1360585.375647,1.39466
ses-036_run-1,1379434.841773,1.38156
ses-036_run-2,1375890.535951,1.38091
ses-036_run-3,1377462.659708,1.38925
ses-036_run-4,1374336.161762,1.38475
ses-036_run-5,1378850.898325,1.37812
ses-037_run-1,1358775.299053,1.41112
ses-038_run-1,1367919.106445,1.38503
ses-039_run-1,1376356.308699,1.38206
ses-040_run-1,1370649.348779,1.38893
ses-041_run-1,1366243.732879,1.39817
ses-042_run-1,1373176.526835,1.38047
ses-042_run-2,1377186.298042,1.38316
ses-043_run-1,1397493.890671,1.36267
ses-044_run-1,1377092.36098,1.38002
ses-044_run-2,1376861.630407,1.37205
ses-044_run-3,1376592.952293,1.37151
ses-045_run-1,1393431.007042,1.37601
ses-045_run-2,1392335.681094,1.36868
ses-046_run-1,1393478.514798,1.36978
ses-046_run-2,1393026.317714,1.36714
ses-046_run-3,1395409.587533,1.37199
ses-047_run-1,1384901.115803,1.37838
ses-048_acq-transverse_run-3,1369102.168983,1.37576
ses-048_run-1,1372376.742901,1.37558
ses-048_run-2,1365787.320915,1.38133
ses-049_run-1,1381433.672468,1.37507
ses-050_run-1,1395703.534273,1.3553
ses-051_run-1,1393793.497531,1.36502
ses-051_run-2,1392022.91596,1.35626
ses-052_run-1,1410819.740601,1.34079
ses-053_run-1,1384413.36123,1.36694
ses-054_run-1,1379398.12979,1.38701
ses-055_run-1,1359554.953172,1.39446
ses-056_run-1,1362618.856109,1.39244
ses-057_run-1,1392569.620534,1.35269
ses-058_run-1,1384114.895877,1.37481
ses-059_run-1,1420008.191228,1.3429
ses-060_run-1,1388798.621908,1.37001
ses-061_run-1,1372141.464853,1.39031
ses-061_run-2,1372558.022562,1.3917
ses-062_run-1,1397885.158595,1.35944
ses-063_run-1,1391646.388532,1.36025
ses-064_run-1,1365598.460052,1.38706
ses-065_run-1,1387302.199081,1.37512
ses-066_run-1,1387723.601643,1.36571
ses-067_run-1,1408764.957929,1.35129
ses-068_run-1,1401647.334695,1.35613
ses-069_run-1,1394623.49785,1.36055
ses-070_run-1,1381525.250252,1.37761
ses-071_run-1,1359301.575144,1.41003
ses-072_run-1,1390051.368987,1.36853
ses-073_run-1,1368722.82707,1.38235
